league_id,League Name,2025-2026_season_id,2024-2025_season_id,2023-2024_season_id
113,Australia A-League,27536,23989,21861
38,Austria Bundesliga,27185,23776,21107
40,Belgium First Division A,27152,23650,20957
264,Belgium First Division B,1000000353,,
252,Croatia HNL,27123,23618,20941
122,Czech Republic 1. Liga,27145,23728,20955
85,Denmark 1. Division,27117,23688,21015
46,Denmark Superligaen,27018,23624,20962
519,Egypt Premier League,27525,24306,22011
48,England Championship,27195,23744,20721
108,England League One,27196,23745,20722
109,England League Two,27197,23746,20723
47,England Premier League,27110,23685,20720
9084,England Premier League 2,1000000327,,
53,France Ligue 1,27212,23724,20868
110,France Ligue 2,27215,23725,20971
146,Germany 2. Bundesliga,26892,23795,20947
208,Germany 3. Liga,26894,23847,20949
54,Germany Bundesliga,26891,23794,20946
135,Greece Super League 1,27184,23900,21439
9478,India Indian Super League,31204,24127,21961
55,Italy Serie A,27044,23819,20956
86,Italy Serie B,27577,23861,21310
223,Japan J. League,30641,24506,22617
230,Mexico Liga MX,27048,23651,20894
111,Netherlands Eerste Divisie,27206,23696,21112
57,Netherlands Eredivisie,27131,23691,21111
196,Poland Ekstraklasa,27045,23622,20954
61,Portugal Liga Portugal,27181,23826,21251
189,Romania Liga I,27193,23796,21109
63,Russia Premier League,27157,23727,21085
10721,Saudi First Division,1000000351,,
536,Saudi Pro League,27963,23876,21460
64,Scotland Premiership,27153,23758,21119
176,Slovak First Football League,27172,23730,21106
537,South Africa Premier Soccer League,27774,23981,21358
87,Spain LaLiga,27233,23686,21053
140,Spain LaLiga2,27234,23755,21113
163,Switzerland Challenge League,27164,23694,21046
69,Switzerland Super League,27163,23693,21045
165,TÃ¼rkiye 1. Lig,27413,23935,21476
71,TÃ¼rkiye SÃ¼per Lig,27244,23864,21459
8984,Thailand Thai League,1000000373,23782,21294
538,United Arab Emirates Pro League,27424,23846,21096
182,Serbia Super Liga,1000000234,,
